角色突破ID	突破等级	语音文件	消耗金币	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	解锁等级上限	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	[增加属性]4类型	[增加属性]4值	冒险等级要求
12	4		80000	104103	3	0	8	100024	30	112006	18	70	1	2294.4153	7	144.0000	4	44.8128	6	0.1200	35
12	5		100000	104103	6	0	12	100024	45	112007	12	80	1	2778.3936	7	174.3750	4	54.2655	6	0.1800	40
12	6		120000	104104	6	0	20	100024	60	112007	24	90	1	3262.3718	7	204.7500	4	63.7182	6	0.2400	50
14	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
14	1		20000	104121	1	0	0	100025	3	112008	3	40	1	613.0391	7	41.8950	4	9.9778	3	0	15
14	2		40000	104122	3	113012	2	100025	10	112008	15	50	1	1048.6195	7	71.6625	4	17.0674	3	0.0600	25
14	3		60000	104122	6	113012	4	100025	20	112009	12	60	1	1629.3934	7	111.3525	4	26.5201	3	0.1200	30
14	4		80000	104123	3	113012	8	100025	30	112009	18	70	1	2064.9739	7	141.1200	4	33.6096	3	0.1200	35
14	5		100000	104123	6	113012	12	100025	45	112010	12	80	1	2500.5542	7	170.8875	4	40.6991	3	0.1800	40
14	6		120000	104124	6	113012	20	100025	60	112010	24	90	1	2936.1348	7	200.6550	4	47.7887	3	0.2400	50
15	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	23	0	0
15	1		20000	104161	1	0	0	100056	3	112035	3	40	1	728.8354	7	49.5900	4	13.9690	23	0	15
15	2		40000	104162	3	113010	2	100056	10	112035	15	50	1	1246.6921	7	84.8250	4	23.8943	23	0.0667	25
15	3		60000	104162	6	113010	4	100056	20	112036	12	60	1	1937.1677	7	131.8050	4	37.1281	23	0.1333	30
15	4		80000	104163	3	113010	8	100056	30	112036	18	70	1	2455.0244	7	167.0400	4	47.0534	23	0.1333	35
15	5		100000	104163	6	113010	12	100056	45	112037	12	80	1	2972.8811	7	202.2750	4	56.9788	23	0.2000	40
15	6		120000	104164	6	113010	20	100056	60	112037	24	90	1	3490.7378	7	237.5100	4	66.9041	23	0.2667	50
16	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
16	1		20000	104111	1	0	0	100055	3	112032	3	40	1	866.4288	7	52.3260	4	22.3493	20	0	15
16	2		40000	104112	3	113011	2	100055	10	112032	15	50	1	1482.0493	7	89.5050	4	38.2291	20	0.0480	25
16	3		60000	104112	6	113011	4	100055	20	112033	12	60	1	2302.8767	7	139.0770	4	59.4021	20	0.0960	30
16	4		80000	104113	3	113011	8	100055	30	112033	18	70	1	2918.4971	7	176.2560	4	75.2819	20	0.0960	35
16	5		100000	104113	6	113011	12	100055	45	112034	12	80	1	3534.1177	7	213.4350	4	91.1617	20	0.1440	40
16	6		120000	104114	6	113011	20	100055	60	112034	24	90	1	4149.7383	7	250.6140	4	107.0415	20	0.1920	50
20	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	30	0	0
20	1		20000	104141	1	0	0	100021	3	112005	3	40	1	749.2700	7	47.0250	4	14.6342	30	0	15
20	2		40000	104142	3	113002	2	100021	10	112005	15	50	1	1281.6461	7	80.4375	4	25.0322	30	0.0750	25
20	3		60000	104142	6	113002	4	100021	20	112006	12	60	1	1991.4808	7	124.9875	4	38.8961	30	0.1500	30
20	4		80000	104143	3	113002	8	100021	30	112006	18	70	1	2523.8569	7	158.4000	4	49.2941	30	0.1500	35
20	5		100000	104143	6	113002	12	100021	45	112007	12	80	1	3056.2329	7	191.8125	4	59.6921	30	0.2250	40
20	6		120000	104144	6	113002	20	100021	60	112007	24	90	1	3588.6091	7	225.2250	4	70.0900	30	0.3000	50
21	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
21	1		20000	104111	1	0	0	100055	3	112011	3	40	1	592.6045	7	37.6200	4	13.9690	6	0	15
21	2		40000	104112	3	113011	2	100055	10	112011	15	50	1	1013.6655	7	64.3500	4	23.8943	6	0.0600	25
21	3		60000	104112	6	113011	4	100055	20	112012	12	60	1	1575.0803	7	99.9900	4	37.1281	6	0.1200	30
21	4		80000	104113	3	113011	8	100055	30	112012	18	70	1	1996.1414	7	126.7200	4	47.0534	6	0.1200	35
21	5		100000	104113	6	113011	12	100055	45	112013	12	80	1	2417.2024	7	153.4500	4	56.9788	6	0.1800	40
21	6		120000	104114	6	113011	20	100055	60	112013	24	90	1	2838.2634	7	180.1800	4	66.9041	6	0.2400	50
22	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	23	0	0
22	1		20000	104151	1	0	0	100023	3	112002	3	40	1	702.9517	7	44.6310	4	17.5602	23	0	15
22	2		40000	104152	3	113001	2	100023	10	112002	15	50	1	1202.4174	7	76.3425	4	30.0371	23	0.0800	25
22	3		60000	104152	6	113001	4	100023	20	112003	12	60	1	1868.3716	7	118.6245	4	46.6731	23	0.1600	30
22	4		80000	104153	3	113001	8	100023	30	112003	18	70	1	2367.8374	7	150.3360	4	59.1501	23	0.1600	35
22	5		100000	104153	6	113001	12	100023	45	112004	12	80	1	2867.3030	7	182.0475	4	71.6271	23	0.2400	40
22	6		120000	104154	6	113001	20	100023	60	112004	24	90	1	3366.7688	7	213.7590	4	84.1040	23	0.3200	50
23	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	28	0	0
23	1		20000	104111	1	0	0	100027	3	112002	3	40	1	681.1545	7	41.8950	4	14.1020	28	0	15
23	2		40000	104112	3	113011	2	100027	10	112002	15	50	1	1165.1328	7	71.6625	4	24.1219	28	24.0000	25
23	3		60000	104112	6	113011	4	100027	20	112003	12	60	1	1810.4371	7	111.3525	4	37.4817	28	48.0000	30
23	4		80000	104113	3	113011	8	100027	30	112003	18	70	1	2294.4153	7	141.1200	4	47.5016	28	48.0000	35
23	5		100000	104113	6	113011	12	100027	45	112004	12	80	1	2778.3936	7	170.8875	4	57.5214	28	72.0000	40
23	6		120000	104114	6	113011	20	100027	60	112004	24	90	1	3262.3718	7	200.6550	4	67.5413	28	96.0000	50
24	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	41	0	0
24	1		20000	104141	1	0	0	100028	3	112035	3	40	1	817.3855	7	40.6125	4	14.1020	41	0	15
24	2		40000	104142	3	113002	2	100028	10	112035	15	50	1	1398.1593	7	69.4688	4	24.1219	41	0.0600	25
24	3		60000	104142	6	113002	4	100028	20	112036	12	60	1	2172.5247	7	107.9437	4	37.4817	41	0.1200	30
24	4		80000	104143	3	113002	8	100028	30	112036	18	70	1	2753.2983	7	136.8000	4	47.5016	41	0.1200	35
24	5		100000	104143	6	113002	12	100028	45	112037	12	80	1	3334.0723	7	165.6562	4	57.5214	41	0.1800	40
24	6		120000	104144	6	113002	20	100028	60	112037	24	90	1	3914.8462	7	194.5125	4	67.5413	41	0.2400	50
25	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
25	1		20000	104121	1	0	0	100029	3	112005	3	40	1	640.2853	7	47.4525	4	12.6386	6	0	15
25	2		40000	104122	3	113012	2	100029	10	112005	15	50	1	1095.2249	7	81.1687	4	21.6187	6	0.0600	25
25	3		60000	104122	6	113012	4	100029	20	112006	12	60	1	1701.8109	7	126.1237	4	33.5921	6	0.1200	30
25	4		80000	104123	3	113012	8	100029	30	112006	18	70	1	2156.7505	7	159.8400	4	42.5722	6	0.1200	35
25	5		100000	104123	6	113012	12	100029	45	112007	12	80	1	2611.6899	7	193.5562	4	51.5522	6	0.1800	40
25	6		120000	104124	6	113012	20	100029	60	112007	24	90	1	3066.6296	7	227.2725	4	60.5323	6	0.2400	50
26	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
26	1		20000	104151	1	0	0	100031	3	112002	3	40	1	850.0811	7	53.3520	4	23.3071	20	0	15
26	2		40000	104152	3	113016	2	100031	10	112002	15	50	1	1454.0862	7	91.2600	4	39.8675	20	0.0480	25
26	3		60000	104152	6	113016	4	100031	20	112003	12	60	1	2259.4263	7	141.8040	4	61.9479	20	0.0960	30
26	4		80000	104153	3	113016	8	100031	30	112003	18	70	1	2863.4312	7	179.7120	4	78.5083	20	0.0960	35
26	5		100000	104153	6	113016	12	100031	45	112004	12	80	1	3467.4363	7	217.6200	4	95.0686	20	0.1440	40
26	6		120000	104154	6	113016	20	100031	60	112004	24	90	1	4071.4412	7	255.5280	4	111.6290	20	0.1920	50
27	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	45	0	0
27	1		20000	104171	1	0	0	100030	3	112032	3	40	1	613.0391	7	35.9100	4	13.3038	45	0	15
27	2		40000	104172	3	113009	2	100030	10	112032	15	50	1	1048.6195	7	61.4250	4	22.7565	45	0.0600	25
27	3		60000	104172	6	113009	4	100030	20	112033	12	60	1	1629.3934	7	95.4450	4	35.3601	45	0.1200	30
27	4		80000	104173	3	113009	8	100030	30	112033	18	70	1	2064.9739	7	120.9600	4	44.8128	45	0.1200	35
27	5		100000	104173	6	113009	12	100030	45	112034	12	80	1	2500.5542	7	146.4750	4	54.2655	45	0.1800	40
27	6		120000	104174	6	113009	20	100030	60	112034	24	90	1	2936.1348	7	171.9900	4	63.7182	45	0.2400	50
29	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	40	0	0
29	1		20000	104111	1	0	0	100025	3	112008	3	40	1	686.6040	7	41.0400	4	20.7529	40	0	15
29	2		40000	104112	3	113011	2	100025	10	112008	15	50	1	1174.4542	7	70.2000	4	35.4985	40	0.0720	25
29	3		60000	104112	6	113011	4	100025	20	112009	12	60	1	1824.9211	7	109.0800	4	55.1591	40	0.1440	30
29	4		80000	104113	3	113011	8	100025	30	112009	18	70	1	2312.7712	7	138.2400	4	69.9046	40	0.1440	35
29	5		100000	104113	6	113011	12	100025	45	112010	12	80	1	2800.6216	7	167.4000	4	84.6501	40	0.2160	40
29	6		120000	104114	6	113011	20	100025	60	112010	24	90	1	3288.4717	7	196.5600	4	99.3957	40	0.2880	50
30	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	45	0	0
30	1		20000	104171	1	0	0	100058	3	112002	3	40	1	980.8628	7	49.2480	4	16.7620	45	0	15
30	2		40000	104172	3	113009	2	100058	10	112002	15	50	1	1677.7917	7	84.2400	4	28.6718	45	0.0720	25
30	3		60000	104172	6	113009	4	100058	20	112003	12	60	1	2607.0303	7	130.8960	4	44.5516	45	0.1440	30
30	4		80000	104173	3	113009	8	100058	30	112003	18	70	1	3303.9590	7	165.8880	4	56.4614	45	0.1440	35
30	5		100000	104173	6	113009	12	100058	45	112004	12	80	1	4000.8879	7	200.8800	4	68.3713	45	0.2160	40
30	6		120000	104174	6	113009	20	100058	60	112004	24	90	1	4697.8169	7	235.8720	4	80.2811	45	0.2880	50
31	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
31	1		20000	104141	1	0	0	100055	3	112011	3	40	1	575.5756	7	37.1925	4	15.2994	6	0	15
31	2		40000	104142	3	113002	2	100055	10	112011	15	50	1	984.5372	7	63.6188	4	26.1700	6	0.0600	25
31	3		60000	104142	6	113002	4	100055	20	112012	12	60	1	1529.8193	7	98.8538	4	40.6641	6	0.1200	30
31	4		80000	104143	3	113002	8	100055	30	112012	18	70	1	1938.7810	7	125.2800	4	51.5347	6	0.1200	35
31	5		100000	104143	6	113002	12	100055	45	112013	12	80	1	2347.7427	7	151.7063	4	62.4053	6	0.1800	40
31	6		120000	104144	6	113002	20	100055	60	112013	24	90	1	2756.7041	7	178.1325	4	73.2759	6	0.2400	50
32	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	23	0	0
32	1		20000	104111	1	0	0	100024	3	112035	3	40	1	776.5162	7	48.3075	4	11.9734	23	0	15
32	2		40000	104112	3	113011	2	100024	10	112035	15	50	1	1328.2513	7	82.6312	4	20.4809	23	0.0667	25
32	3		60000	104112	6	113011	4	100024	20	112036	12	60	1	2063.8984	7	128.3963	4	31.8241	23	0.1333	30
32	4		80000	104113	3	113011	8	100024	30	112036	18	70	1	2615.6335	7	162.7200	4	40.3315	23	0.1333	35
32	5		100000	104113	6	113011	12	100024	45	112037	12	80	1	3167.3687	7	197.0437	4	48.8390	23	0.2000	40
32	6		120000	104114	6	113011	20	100024	60	112037	24	90	1	3719.1040	7	231.3675	4	57.3464	23	0.2667	50
33	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	42	0	0
33	1		20000	104121	1	0	0	100033	3	112032	3	40	1	874.6027	7	54.3780	4	20.1144	42	0	15
33	2		40000	104122	3	113012	2	100033	10	112032	15	50	1	1496.0309	7	93.0150	4	34.4062	42	0.0720	25
33	3		60000	104122	6	113012	4	100033	20	112033	12	60	1	2324.6018	7	144.5310	4	53.4619	42	0.1440	30
33	4		80000	104123	3	113012	8	100033	30	112033	18	70	1	2946.0300	7	183.1680	4	67.7537	42	0.1440	35
33	5		100000	104123	6	113012	12	100033	45	112034	12	80	1	3567.4585	7	221.8050	4	82.0455	42	0.2160	40
33	6		120000	104124	6	113012	20	100033	60	112034	24	90	1	4188.8867	7	260.4420	4	96.3373	42	0.2880	50
34	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	9	0	0
34	1		20000	104171	1	0	0	100022	3	112005	3	40	1	756.0815	7	50.0175	4	11.9734	9	0	15
34	2		40000	104172	3	113009	2	100022	10	112005	15	50	1	1293.2974	7	85.5563	4	20.4809	9	0.0750	25
34	3		60000	104172	6	113009	4	100022	20	112006	12	60	1	2009.5852	7	132.9413	4	31.8241	9	0.1500	30
34	4		80000	104173	3	113009	8	100022	30	112006	18	70	1	2546.8010	7	168.4800	4	40.3315	9	0.1500	35
34	5		100000	104173	6	113009	12	100022	45	112007	12	80	1	3084.0168	7	204.0188	4	48.8390	9	0.2250	40
34	6		120000	104174	6	113009	20	100022	60	112007	24	90	1	3621.2327	7	239.5575	4	57.3464	9	0.3000	50
35	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	26	0	0
35	1		20000	104161	1	0	0	100034	3	112008	3	40	1	825.5596	7	61.5600	4	19.1566	26	0	15
35	2		40000	104162	3	113010	2	100034	10	112008	15	50	1	1412.1414	7	105.3000	4	32.7678	26	0.0554	25
35	3		60000	104162	6	113010	4	100034	20	112009	12	60	1	2194.2505	7	163.6200	4	50.9161	26	0.1108	30
35	4		80000	104163	3	113010	8	100034	30	112009	18	70	1	2780.8323	7	207.3600	4	64.5274	26	0.1108	35
35	5		100000	104163	6	113010	12	100034	45	112010	12	80	1	3367.4141	7	251.1000	4	78.1386	26	0.1662	40
35	6		120000	104164	6	113010	20	100034	60	112010	24	90	1	3953.9958	7	294.8400	4	91.7498	26	0.2215	50
36	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
36	1		20000	104161	1	0	0	100058	3	112005	3	40	1	687.9661	7	40.6125	4	13.9690	6	0	15
36	2		40000	104162	3	113010	2	100058	10	112005	15	50	1	1176.7842	7	69.4688	4	23.8943	6	0.0600	25
36	3		60000	104162	6	113010	4	100058	20	112006	12	60	1	1828.5415	7	107.9437	4	37.1281	6	0.1200	30
36	4		80000	104163	3	113010	8	100058	30	112006	18	70	1	2317.3596	7	136.8000	4	47.0534	6	0.1200	35
36	5		100000	104163	6	113010	12	100058	45	112007	12	80	1	2806.1775	7	165.6562	4	56.9788	6	0.1800	40
36	6		120000	104164	6	113010	20	100058	60	112007	24	90	1	3294.9956	7	194.5125	4	66.9041	6	0.2400	50
37	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
37	1		20000	104161	1	0	0	100031	3	112038	3	40	1	653.9086	7	42.0660	4	22.3493	22	0	15
37	2		40000	104162	3	113010	2	100031	10	112038	15	50	1	1118.5278	7	71.9550	4	38.2291	22	0.0960	25
37	3		60000	104162	6	113010	4	100031	20	112039	12	60	1	1738.0201	7	111.8070	4	59.4021	22	0.1920	30
37	4		80000	104163	3	113010	8	100031	30	112039	18	70	1	2202.6394	7	141.6960	4	75.2819	22	0.1920	35
37	5		100000	104163	6	113010	12	100031	45	112040	12	80	1	2667.2585	7	171.5850	4	91.1617	22	0.2880	40
37	6		120000	104164	6	113010	20	100031	60	112040	24	90	1	3131.8779	7	201.4740	4	107.0415	22	0.3840	50
38	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	45	0	0
38	1		20000	104171	1	0	0	100023	3	112008	3	40	1	882.7766	7	58.4820	4	16.7620	45	0	15
38	2		40000	104172	3	113009	2	100023	10	112008	15	50	1	1510.0126	7	100.0350	4	28.6718	45	0.0720	25
38	3		60000	104172	6	113009	4	100023	20	112009	12	60	1	2346.3271	7	155.4390	4	44.5516	45	0.1440	30
38	4		80000	104173	3	113009	8	100023	30	112009	18	70	1	2973.5632	7	196.9920	4	56.4614	45	0.1440	35
38	5		100000	104173	6	113009	12	100023	45	112010	12	80	1	3600.7991	7	238.5450	4	68.3713	45	0.2160	40
38	6		120000	104174	6	113009	20	100023	60	112010	24	90	1	4228.0352	7	280.0980	4	80.2811	45	0.2880	50
39	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	46	0	0
39	1		20000	104161	1	0	0	100056	3	112011	3	40	1	599.4160	7	37.6200	4	13.3038	46	0	15
39	2		40000	104162	3	113010	2	100056	10	112011	15	50	1	1025.3169	7	64.3500	4	22.7565	46	0.0600	25
39	3		60000	104162	6	113010	4	100056	20	112012	12	60	1	1593.1847	7	99.9900	4	35.3601	46	0.1200	30
39	4		80000	104163	3	113010	8	100056	30	112012	18	70	1	2019.0854	7	126.7200	4	44.8128	46	0.1200	35
39	5		100000	104163	6	113010	12	100056	45	112013	12	80	1	2444.9863	7	153.4500	4	54.2655	46	0.1800	40
39	6		120000	104164	6	113010	20	100056	60	112013	24	90	1	2870.8872	7	180.1800	4	63.7182	46	0.2400	50
41	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	23	0	0
41	1		20000	104121	1	0	0	100025	3	112038	3	40	1	694.7778	7	43.6050	4	19.1566	23	0	15
41	2		40000	104122	3	113012	2	100025	10	112038	15	50	1	1188.4358	7	74.5875	4	32.7678	23	0.0800	25
41	3		60000	104122	6	113012	4	100025	20	112039	12	60	1	1846.6464	7	115.8975	4	50.9161	23	0.1600	30
41	4		80000	104123	3	113012	8	100025	30	112039	18	70	1	2340.3042	7	146.8800	4	64.5274	23	0.1600	35
41	5		100000	104123	6	113012	12	100025	45	112040	12	80	1	2833.9622	7	177.8625	4	78.1386	23	0.2400	40
41	6		120000	104124	6	113012	20	100025	60	112040	24	90	1	3327.6201	7	208.8450	4	91.7498	23	0.3200	50
42	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
42	1		20000	104141	1	0	0	100058	3	112038	3	40	1	874.6027	7	53.3520	4	21.5511	22	0	15
42	2		40000	104142	3	113002	2	100058	10	112038	15	50	1	1496.0309	7	91.2600	4	36.8638	22	0.0960	25
42	3		60000	104142	6	113002	4	100058	20	112039	12	60	1	2324.6018	7	141.8040	4	57.2806	22	0.1920	30
42	4		80000	104143	3	113002	8	100058	30	112039	18	70	1	2946.0300	7	179.7120	4	72.5933	22	0.1920	35
42	5		100000	104143	6	113002	12	100058	45	112040	12	80	1	3567.4585	7	217.6200	4	87.9059	22	0.2880	40
42	6		120000	104144	6	113002	20	100058	60	112040	24	90	1	4188.8867	7	255.5280	4	103.2186	22	0.3840	50
43	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	44	0	0
43	1		20000	104151	1	0	0	100024	3	112038	3	40	1	578.9814	7	44.0325	4	10.6430	44	0	15
43	2		40000	104152	3	113001	2	100024	10	112038	15	50	1	990.3629	7	75.3187	4	18.2052	44	0.0600	25
43	3		60000	104152	6	113001	4	100024	20	112039	12	60	1	1538.8716	7	117.0338	4	28.2881	44	0.1200	30
43	4		80000	104153	3	113001	8	100024	30	112039	18	70	1	1950.2531	7	148.3200	4	35.8502	44	0.1200	35
43	5		100000	104153	6	113001	12	100024	45	112040	12	80	1	2361.6345	7	179.6062	4	43.4124	44	0.1800	40
43	6		120000	104154	6	113001	20	100024	60	112040	24	90	1	2773.0161	7	210.8925	4	50.9746	44	0.2400	50
44	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
44	1		20000	104111	1	0	0	100034	3	112035	3	40	1	701.5892	7	50.0175	4	15.5654	6	0	15
44	2		40000	104112	3	113011	2	100034	10	112035	15	50	1	1200.0868	7	85.5563	4	26.6251	6	0.0600	25
44	3		60000	104112	6	113011	4	100034	20	112036	12	60	1	1864.7502	7	132.9413	4	41.3713	6	0.1200	30
44	4		80000	104113	3	113011	8	100034	30	112036	18	70	1	2363.2478	7	168.4800	4	52.4310	6	0.1200	35
44	5		100000	104113	6	113011	12	100034	45	112037	12	80	1	2861.7454	7	204.0188	4	63.4906	6	0.1800	40
44	6		120000	104114	6	113011	20	100034	60	112037	24	90	1	3360.2429	7	239.5575	4	74.5503	6	0.2400	50
45	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
45	1		20000	104161	1	0	0	100022	3	112032	3	40	1	769.7047	7	44.4600	4	15.0333	6	0	15
45	2		40000	104162	3	113010	2	100022	10	112032	15	50	1	1316.6001	7	76.0500	4	25.7148	6	0.0600	25
45	3		60000	104162	6	113010	4	100022	20	112033	12	60	1	2045.7939	7	118.1700	4	39.9569	6	0.1200	30
45	4		80000	104163	3	113010	8	100022	30	112033	18	70	1	2592.6895	7	149.7600	4	50.6385	6	0.1200	35
45	5		100000	104163	6	113010	12	100022	45	112034	12	80	1	3139.5847	7	181.3500	4	61.3200	6	0.1800	40
45	6		120000	104164	6	113010	20	100022	60	112034	24	90	1	3686.4802	7	212.9400	4	72.0016	6	0.2400	50
46	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
46	1		20000	104111	1	0	0	100029	3	112038	3	40	1	1038.0798	7	58.4820	4	7.1039	22	0	15
46	2		40000	104112	3	113016	2	100029	10	112038	15	50	1	1775.6628	7	100.0350	4	12.1514	22	0.0960	25
46	3		60000	104112	6	113016	4	100029	20	112039	12	60	1	2759.1069	7	155.4390	4	18.8814	22	0.1920	30
46	4		80000	104113	3	113016	8	100029	30	112039	18	70	1	3496.6899	7	196.9920	4	23.9289	22	0.1920	35
46	5		100000	104113	6	113016	12	100029	45	112040	12	80	1	4234.2729	7	238.5450	4	28.9764	22	0.2880	40
46	6		120000	104114	6	113016	20	100029	60	112040	24	90	1	4971.8560	7	280.0980	4	34.0239	22	0.3840	50
47	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	28	0	0
47	1		20000	104151	1	0	0	101206	3	112035	3	40	1	890.9504	7	53.8650	4	19.7951	28	0	15
47	2		40000	104152	3	113022	2	101206	10	112035	15	50	1	1523.9941	7	92.1375	4	33.8601	28	28.8000	25
47	3		60000	104152	6	113022	4	101206	20	112036	12	60	1	2368.0525	7	143.1675	4	52.6133	28	57.6000	30
47	4		80000	104153	3	113022	8	101206	30	112036	18	70	1	3001.0962	7	181.4400	4	66.6783	28	57.6000	35
47	5		100000	104153	6	113022	12	101206	45	112037	12	80	1	3634.1399	7	219.7125	4	80.7432	28	86.4000	40
47	6		120000	104154	6	113022	20	101206	60	112037	24	90	1	4267.1836	7	257.9850	4	94.8082	28	115.2000	50
48	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	40	0	0
48	1		20000	104111	1	0	0	100028	3	112035	3	40	1	585.7929	7	36.7650	4	15.0333	40	0	15
48	2		40000	104112	3	113016	2	100028	10	112035	15	50	1	1002.0142	7	62.8875	4	25.7148	40	0.0600	25
48	3		60000	104112	6	113016	4	100028	20	112036	12	60	1	1556.9760	7	97.7175	4	39.9569	40	0.1200	30
48	4		80000	104113	3	113016	8	100028	30	112036	18	70	1	1973.1973	7	123.8400	4	50.6385	40	0.1200	35
48	5		100000	104113	6	113016	12	100028	45	112037	12	80	1	2389.4185	7	149.9625	4	61.3200	40	0.1800	40
48	6		120000	104114	6	113016	20	100028	60	112037	24	90	1	2805.6399	7	176.0850	4	72.0016	40	0.2400	50
49	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
49	1		20000	104111	1	0	0	101205	3	112008	3	40	1	678.4301	7	41.0400	4	21.5511	20	0	15
